# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn449.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.998343 
# Number of iterations (recorded+unrecorded): 1022762237 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
759967735.97	5290.78
760967706.48	5230.78
761967637.00	6823.71
762967516.51	6813.71
763967617.02	4208.82
764967437.53	3707.84
765967468.04	5150.78
766967618.55	5050.79
767967359.07	4588.81
768967308.58	4138.82
769967279.09	5941.75
770967269.60	4208.82
771967130.12	5200.78
772967180.62	4158.82
773967060.14	5000.79
774417591.00	3126.87
774966018.69	7214.69
775967091.16	4369.81
776967001.67	4168.82
777966992.18	6071.74
778966812.70	4839.79
779966863.21	4308.82
780966802.72	3547.85
781966833.23	5230.78
782966673.75	4258.82
783966754.25	4388.81
784073057.74	1743.93
784966594.77	8846.62
785966534.28	3798.84
786966624.79	4217.82
787966545.30	3527.85
788966515.81	3116.87
789966446.33	5039.79
790966326.84	3426.85
791966276.35	4088.83
792966306.86	3667.84
793966286.37	4630.80
794966127.89	3286.86
795966198.40	4739.80
796966148.91	5019.79
797966008.42	4328.82
798965967.94	3548.85
799965979.45	3927.83
800966009.95	3557.85
801965910.47	5340.77
802965940.98	4318.82
803965759.49	4900.79
804965841.00	3397.86
805965671.52	5260.78
806965772.02	4849.79
807965611.54	4269.82
808965672.05	3627.85
809965592.56	4880.79
810965503.08	5510.77
811965523.58	5140.78
812965674.09	4068.83
813965394.61	3767.84
814965314.12	4609.80
815965254.64	3687.84
816965255.15	4849.79
817965275.66	4017.83
818965266.17	4027.83
819965146.68	5640.76
820965056.19	5360.77
821965116.70	3266.86
822965057.21	4799.80
823965047.73	4338.82
824964898.24	3687.84
825964877.75	3327.86
826964828.26	4058.83
827964858.77	3607.85
828964769.29	3066.87
829964789.80	3716.84
830964619.31	2535.89
831964569.83	3377.86
832964540.34	3536.85
833964520.85	4599.80
834964421.36	4087.83
835964491.87	3066.87
836964341.39	3616.85
837964441.89	3697.84
838964342.41	3296.86
839964242.92	3116.87
840964303.43	3316.86
841964243.94	5911.75
842964113.45	3477.85
843964224.96	3717.84
844964093.48	4119.82
845964034.99	3376.86
846963985.50	3366.86
847964006.01	3627.85
848963925.52	3477.85
849963885.03	3497.85
850963826.55	3176.87
851963787.06	3757.84
852963697.57	5019.79
853963698.08	4147.82
854963647.59	4268.82
855963578.11	3687.84
856963607.62	4760.80
857963589.13	3697.84
858963539.64	2805.88
859963450.15	3266.86
860963339.67	4918.79
861963420.17	3326.86
862963390.69	3136.87
863963281.20	3306.86
864963211.71	3937.83
865963161.23	3116.87
866963211.73	2856.88
867963162.25	2555.89
868963142.76	4147.82
869962933.27	4488.81
870962962.78	4519.81
871962973.29	4008.83
872962993.80	2916.88
873962864.32	5300.77
874962794.83	4178.82
875962755.34	2985.87
876962674.86	3277.86
877962715.36	4870.79
878962675.88	4589.80
879962576.39	4317.82
880962566.90	3787.84
881962507.41	3426.85
882962416.93	4449.81
883962477.43	4248.82
884962427.95	4869.79
885069623.39	2004.91
885962298.46	8295.65
886962278.97	5049.79
887962309.48	3726.84
888962209.00	3828.84
889962198.51	3157.87
890962160.02	5180.78
891962170.53	3998.83
892962041.04	3206.86
893962051.55	4097.83
894961971.07	4158.82
895962011.57	3968.83
896961912.09	4208.82
897961752.61	2955.87
898961803.11	4468.81
899961762.62	3487.85
900961703.14	4128.82
901961663.65	2595.89
902961544.16	5640.76
903961744.67	4919.79
904961504.19	4188.82
905961514.70	2445.90
906961435.21	4719.80
907961405.72	4408.81
908961376.23	3366.86
909961366.74	2635.89
910961327.25	4949.79
911961266.77	4138.82
912961257.28	3928.83
913961157.79	3707.84
914961018.31	4979.79
915961028.82	3817.84
916961079.32	3376.86
917961028.84	2545.89
918960859.35	3537.85
919960839.86	1543.93
920960950.37	1533.93
921960860.88	1513.94
922960730.40	3918.83
923960770.91	3577.85
924960661.42	3567.85
925960671.93	3156.87
926960602.44	3076.87
927960602.95	2805.88
928960562.47	4379.81
929960442.98	2715.88
930960443.49	2325.90
931960334.01	2394.90
932960314.52	2935.88
933960204.03	4268.82
934960314.54	2405.90
935960155.05	3326.86
936960235.56	2415.90
937960076.08	2014.91
938960166.58	2264.90
939960036.10	2736.88
940960046.61	2796.88
941959957.12	2164.91
942959837.64	1503.94
943959898.14	2204.91
944959858.66	2745.88
945959748.17	1523.94
946959778.68	1503.94
947959639.19	1503.94
948959699.70	1513.94
949959560.22	1553.93
950959499.73	1473.94
951959480.24	1503.94
952959530.75	3587.85
953959371.27	1493.94
954959411.77	3126.87
